"ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"28942","JJ479152","11/05/2025 11:36:00 PM","072XX S SANGAMON ST","0110","HOMICIDE","FIRST DEGREE MURDER","ALLEY","false","false","0733","007","17","68","01A","1171229","1856784","2025","11/13/2025 03:44:10 PM","41.762481575","-87.647981584","(41.762481575, -87.647981584)"
"28941","JJ478713","11/05/2025 05:29:00 PM","028XX N WOODARD ST","0110","HOMICIDE","FIRST DEGREE MURDER","HOUSE","true","true","1412","014","35","21","01A","1153422","1918925","2025","11/13/2025 03:44:10 PM","41.933374704","-87.711598439","(41.933374704, -87.711598439)"
"28940","JJ475994","11/04/2025 12:47:00 PM","020XX E 67TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false","0331","003","5","42","01A","1190877","1860950","2025","03/17/2026 03:41:21 PM","41.773461272","-87.575835221","(41.773461272, -87.575835221)"
"28938","JJ475054","11/02/2025 07:50:00 PM","040XX S PULASKI RD","0110","HOMICIDE","FIRST DEGREE MURDER","RESTAURANT","false","false","0815","008","14","57","01A","1150354","1877136","2025","11/10/2025 03:44:45 PM","41.818761509","-87.723963543","(41.818761509, -87.723963543)"
"29113","JJ421957","11/02/2025 04:21:00 PM","023XX W 21ST PL","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false","1234","012","25","31","01A","1161077","1889682","2025","04/13/2026 04:00:35 PM","41.852973709","-87.684279702","(41.852973709, -87.684279702)"
"28937","JJ472469","10/31/2025 04:48:00 PM","013XX W GRENSHAW ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1231","012","28","28","01A","1167646","1895131","2025","11/08/2025 03:44:52 PM","41.867787447","-87.660012543","(41.867787447, -87.660012543)"
"28932","JJ467479","10/27/2025 05:27:00 PM","076XX S VINCENNES AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false","0623","006","17","69","01A","1175515","1854490","2025","04/09/2026 04:04:45 PM","41.756091788","-87.632341337","(41.756091788, -87.632341337)"
"28931","JJ465813","10/26/2025 10:32:00 AM","110XX S MACKINAW AVE","0110","HOMICIDE","FIRST DEGREE MURDER","VACANT LOT","false","false","0433","004","10","52","01A","1200212","1832345","2025","11/03/2025 03:43:42 PM","41.694736322","-87.542579423","(41.694736322, -87.542579423)"
"28930","JJ464987","10/26/2025 03:54:00 AM","031XX S ST LOUIS AVE","0110","HOMICIDE","FIRST DEGREE MURDER","PARKING LOT","false","false","1032","010","22","30","01A","1153546","1883633","2025","11/03/2025 03:43:42 PM","41.836527402","-87.712081669","(41.836527402, -87.712081669)"
"28929","JJ464545","10/25/2025 06:02:00 AM","010XX N KOSTNER AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1111","011","37","23","01A","1146856","1906381","2025","11/02/2025 03:42:29 PM","41.899080853","-87.736049322","(41.899080853, -87.736049322)"
"29074","JJ461580","10/22/2025 07:23:00 PM","066XX S SACRAMENTO AVE","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","false","false","0831","008","15","66","01A","1157524","1860521","2025","03/15/2026 03:47:15 PM","41.773025125","-87.698111564","(41.773025125, -87.698111564)"
"28928","JJ461283","10/22/2025 04:08:00 PM","049XX W ERIE ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1532","015","37","25","01A","1143225","1903862","2025","10/30/2025 03:50:32 PM","41.892237019","-87.749448993","(41.892237019, -87.749448993)"
"28927","JJ460760","10/22/2025 08:15:00 AM","081XX S MARSHFIELD AVE","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","false","false","0614","006","17","71","01A","1166760","1850648","2025","10/30/2025 03:50:32 PM","41.74574008","-87.664535966","(41.74574008, -87.664535966)"
"28926","JJ460760","10/22/2025 08:15:00 AM","081XX S MARSHFIELD AVE","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","false","false","0614","006","17","71","01A","1166760","1850648","2025","10/30/2025 03:50:32 PM","41.74574008","-87.664535966","(41.74574008, -87.664535966)"
"28924","JJ460012","10/21/2025 03:38:00 PM","041XX W WEST END AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1114","011","28","26","01A","1148724","1900651","2025","10/29/2025 03:44:51 PM","41.883321223","-87.729336303","(41.883321223, -87.729336303)"
"28923","JJ459173","10/20/2025 06:59:00 PM","021XX W 52ND PL","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0932","009","16","61","01A","1163062","1869662","2025","10/28/2025 03:42:01 PM","41.797995188","-87.67755497","(41.797995188, -87.67755497)"
"28922","JJ455814","10/18/2025 01:03:00 AM","054XX S SHIELDS AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","true","0935","009","20","37","01A","1174877","1868941","2025","10/26/2025 03:54:36 PM","41.795761181","-87.634248942","(41.795761181, -87.634248942)"
"28921","JJ455712","10/17/2025 10:56:00 PM","028XX N LEAVITT ST","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","true","false","1931","019","32","5","01A","1161638","1918807","2025","10/25/2025 03:43:27 PM","41.93288344","-87.68140843","(41.93288344, -87.68140843)"
"28920","JJ455562","10/17/2025 07:20:00 PM","031XX S PRINCETON AVE","0110","HOMICIDE","FIRST DEGREE MURDER","AUTO","true","true","0915","009","11","34","01A","1174795","1884240","2025","03/25/2026 03:55:08 PM","41.837744867","-87.634093111","(41.837744867, -87.634093111)"
"28919","JJ455198","10/17/2025 03:28:00 PM","015XX S HOMAN AVE","0110","HOMICIDE","FIRST DEGREE MURDER","YARD","false","false","1021","010","24","29","01A","1153948","1892323","2025","10/25/2025 03:43:27 PM","41.860365804","-87.710375253","(41.860365804, -87.710375253)"
"28918","JJ454465","10/16/2025 11:06:00 PM","088XX S MARQUETTE AVE","0110","HOMICIDE","FIRST DEGREE MURDER","YARD","false","false","0423","004","7","46","01A","1195790","1846928","2025","10/24/2025 03:42:34 PM","41.7348637","-87.558288701","(41.7348637, -87.558288701)"
"28917","JJ451965","10/14/2025 11:48:00 PM","000XX W 44TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0215","002","3","38","01A","1176921","1875852","2025","10/22/2025 03:42:01 PM","41.814679746","-87.626545144","(41.814679746, -87.626545144)"
"28916","JJ450287","10/13/2025 05:15:00 PM","003XX W ROOT ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0925","009","3","37","01A","1174762","1877437","2025","10/21/2025 03:46:26 PM","41.819077587","-87.63441729","(41.819077587, -87.63441729)"
"28915","JJ448559","10/12/2025 02:53:00 AM","064XX S FAIRFIELD AVE","0110","HOMICIDE","FIRST DEGREE MURDER","YARD","true","false","0825","008","16","66","01A","1159153","1861766","2025","10/20/2025 03:43:24 PM","41.776408412","-87.692105986","(41.776408412, -87.692105986)"
